product_name,url,descripcion,country,precio_total,precio_por_cantidad,weight_volume_clean,weight_unit,categorias,alergenos,marcas,tiendas,certificaciones,numero_raciones,nombre_operador,energia_kcal,energia_kj,grasas_totales,grasas_saturadas,carbohidratos,azucares,proteinas,sal,fibra
Bebida de soja 0% azúcares,https://es.openfoodfacts.org/producto/8480000293145/bebida-de-soja-0-azucares-hacendado,Bebida de soja UHT,,,,1000.0,ml,"Dairy substitutes, Sustitutos de la leche, Bebidas de origen vegetal, Bebidas vegetales, Leches de leguminosas, Bebidas de soja, Bebidas de soja natural sin azúcar",Soja,Hacendado,Mercadona,"Vegetariano, Fuente de proteínas, Vegano, 100% vegetal, Contiene soja, FSC, FSC Mixto, Punto Verde, Alto en proteinas, Sin azúcares añadidos",,,31.0,130.0,1.7,0.3,0.6,0.6,3.1,0.1,0.4
Muesli 50% frutas y frutos secos,https://es.openfoodfacts.org/producto/8480000094926/muesli-50-frutas-y-frutos-secos-hacendado,,,,,500.0,g,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Desayunos, Cereales y patatas, Cereales y derivados, Cereales para el desayuno, Cereales con frutas, Muesli, Mueslis con frutas","en:Banana, Gluten, Frutos de cáscara, Avena, Frutos de cáscara","Hacendado , Mercadona",Mercadona,"Fuente de fibra alimentaria, Punto Verde, Rico en fibra",,,367.0,1542.0,9.3,5.1,60.0,26.0,6.8,0.11,7.8
Mozzarella Pizza-Roma,https://es.openfoodfacts.org/producto/8480000511102/mozzarella-pizza-roma-hacendado,Queso rallado para fundir,,,,200.0,g,"Stretched-curd cheeses, Mozzarella, en:Cow mozzarella",Leche,HACENDADO,Mercadona,"Sin gluten, Punto Verde",,,283.0,1176.0,21.0,13.0,2.5,0.8,21.0,1.0,
Granola con frutos secos,https://es.openfoodfacts.org/producto/8480000094742/granola-con-frutos-secos-hacendado,Avena Horneada con Semillas y Frutos Secos Bajo en Azúcar,,,,400.0,g,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Desayunos, Cereales y patatas, Cereales y derivados, Cereales para el desayuno, Muesli","Gluten, Frutos de cáscara, Soja",Hacendado,Mercadona,Ecoponto amarelo,,,477.0,1993.0,22.7,3.5,50.2,4.7,13.6,0.02,8.5
100% Integral,https://es.openfoodfacts.org/producto/8480000823281/100-integral-hacendado,Pan de Molde Elaborado con Harina Integral de Trigo y Cebada 100%,,,,460.0,g,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Cereales y patatas, Panes, Panes de molde, Panes integrales, Panes de molde integrales",Gluten,Hacendado,Mercadona,"Fuente de fibra alimentaria, Punto Verde, Rico en fibra, Sin lactosa, Recicla amarillo",,,238.0,1003.0,3.2,0.7,37.0,2.9,11.0,1.0,7.4
Nesquik,https://es.openfoodfacts.org/producto/7613039490266/nesquik-nestle,Producto alimenticio al cacao de disolución instantánea en leche caliente o fría,,,,390.0,g,"Cocoa powder for beverages with sugar fortified with vitamins, Chocolates en polvo",Soja,Nestlé,Consum,"Sin gluten, Agricultura sustentable, Punto Verde, Metal recycles forever, Nestlé Cocoa Plan, Nutriscore, Nutriscore B, Alianza para Bosques, Rainforest Alliance Cocoa, Fuente de vitamina D",,,386.0,1634.0,3.6,1.6,78.9,75.1,5.1,0.41,7.7
Yogur griego natural 1kg,https://es.openfoodfacts.org/producto/8480000205124/yogur-griego-natural-1kg-hacendado,,,,,1000.0,g,"Fermented dairy desserts, Yogures, en:Plain fermented dairy desserts, Yogures naturales, Yogures estilo griego",Leche,Hacendado,Mercadona,Punto Verde,,,129.0,540.0,10.8,6.7,3.9,3.9,3.9,0.0,0.0
Espelta Sabor Manzana,https://es.openfoodfacts.org/producto/8402001012174/espelta-sabor-manzana-hacendado,Barrita de Cereales con Espelta Sabor Manzana,,,,120.0,g,"Botanas, Snacks dulces, Barritas, Barritas de cereales","Gluten, Soja",Hacendado,Mercadona,"Sin edulcorantes artificiales, Punto Verde, Sin azúcares añadidos, Recicla amarillo, Recicla azul",,,346.0,1449.0,6.1,0.7,55.0,4.8,6.1,0.6,24.0
Chocolate negro 99% cacao,https://es.openfoodfacts.org/producto/8480000125866/chocolate-negro-99-cacao-hacendado,Chocolate 99% cacao,,,,100.0,g,Dark chocolate bar with more than 70% cocoa,,Hacendado,Mercadona,"Sin gluten, Punto Verde",,,610.0,2517.0,54.0,34.0,8.0,1.0,15.0,0.19,16.0
Queso fresco batido desnatado,https://es.openfoodfacts.org/producto/8480000510716/queso-fresco-batido-desnatado-hacendado,Queso fresco batido desnatado,,,,500.0,g,"Fermented dairy desserts, en:Fromages blancs - petit suisses and skyr, Queso fresco, fr:Fromages blancs",Leche,Hacendado,Mercadona,"Sin gluten, Punto Verde, No-vegan",,,46.0,195.0,0.5,0.1,3.5,3.5,8.0,0.1,0.0
Cereal mix 0% azúcares añadidos,https://es.openfoodfacts.org/producto/8480000095329/cereal-mix-0-azucares-anadidos-hacendado,,,,,375.0,g,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Desayunos, Cereales y patatas, Cereales y derivados, Cereales para el desayuno, Granos inflados, Cereales inflados",Gluten,Hacendado,Mercadona,"Fuente de fibra alimentaria, Punto Verde",,,372.0,1576.0,2.7,0.7,80.4,17.1,9.4,0.0,5.6
Jamón cocido lonchas,https://es.openfoodfacts.org/producto/8480000592569/jamon-cocido-lonchas-hacendado,Jamón cocido extra,,,,200.0,g,Cooked ham choice,,Hacendado,Mercadona,"Sin gluten, Punto Verde",,,102.0,426.0,2.5,0.9,0.9,0.9,19.0,1.87,
María 100% Integral,https://es.openfoodfacts.org/producto/8402001009648/maria-100-integral-hacendado,Galleta María Integral,,,,,,"Biscuits and crackers, Galletas, Galletas maría","Gluten, Leche, Dióxido de azufre, sulfitos","Hacendado , Siro",Mercadona,,,,410.0,1725.0,10.0,1.0,66.0,20.0,8.7,1.4,11.0
100% cacao puro natural,https://es.openfoodfacts.org/producto/8410109115543/100-cacao-puro-natural-valor,Cacao desgrasado en polvo,,,,250.0,g,"Cacao y sus productos, Cacaos y chocolates en polvo, Cacaos en polvo",,VALOR,"ALCAMPO, Consum","Sin gluten, Vegetariano, Fuente de fibra alimentaria, Fuente de proteínas, Vegano, Unión Vegetariana Europea, Unión Vegetariana y vegana Europea, Punto Verde, Alto en proteinas, Sin aditivos",,,339.0,1412.0,11.0,6.9,17.0,1.0,25.0,0.05,34.0
Gazpacho Tradicional,https://es.openfoodfacts.org/producto/8480000156044/gazpacho-tradicional-hacendado,,,,,1000.0,g,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Frutas y verduras y sus productos, Comidas preparadas, Sopas, Sopas de verduras y hortalizas, Sopas frías, Gazpachos",,Hacendado,,"Sin gluten, Producto pasteurizado, FSC",,,41.0,170.0,2.6,0.4,3.6,3.4,0.8,0.8,1.1
Havarti,https://es.openfoodfacts.org/producto/8480000505453/havarti-hacendado,Queso havarti en lonchas,,,,300.0,g,"Lácteos, Comidas fermentadas, Productos fermentados de la leche, Quesos, Quesos de vaca, Quesos daneses, Havarti",Leche,Hacendado,Mercadona,"Sin gluten, Sin conservantes, Fuente de calcio, Punto Verde, Sin colorantes, Sin huevo",,,1580.0,1660.0,140.0,100.0,5.2,2.0,76.0,0.0,0.0
Pechuga de pavo reducido en sal finas lonchas,https://es.openfoodfacts.org/producto/8480000867865/pechuga-de-pavo-reducido-en-sal-finas-lonchas-hacendado,Fiambre de pavo,,,,200.0,g,"Charcuteries cuites, en:Poultry hams, Fiambre de pechuga de pavo",,Hacendado,Mercadona,"Bajo en sal o sin sal, Bajo en sal, Sin gluten, Menos sal",,,76.0,321.0,0.5,0.3,1.3,1.3,16.5,1.38,
12 Cereales y semillas,https://es.openfoodfacts.org/producto/8480000835475/12-cereales-y-semillas-hacendado,Pan de Molde,,,,680.0,g,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Cereales y patatas, Panes, Panes de molde, Panes de molde con cereales",Gluten,Hacendado,Mercadona,"Fuente de fibra alimentaria, Punto Verde, Rico en fibra, Sin lactosa, Recicla amarillo",,,263.0,1106.0,6.1,1.0,38.0,3.4,11.0,1.175,6.3
Integral familiar 100%,https://es.openfoodfacts.org/producto/8480000838865/integral-familiar-100-hacendado,,,,,820.0,g,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Cereales y patatas, Panes, Panes de molde, Panes integrales, Panes de molde integrales",Gluten,Hacendado,,"Fuente de fibra alimentaria, Punto Verde, Rico en fibra, Sin lactosa",,,247.0,1030.0,3.75,0.938,40.6,2.81,8.75,1.17,7.5
Almendra natural,https://es.openfoodfacts.org/producto/8480000348654/almendra-natural-hacendado,Almendra natural,,,,200.0,g,"Unroasted almonds, en:Unsalted almonds, en:Whole almonds, en:Non-blanched almonds, Almendra natural",Frutos de cáscara,Hacendado,Mercadona,"Vegetariano, Sin conservantes, Vegano, Fuente de calcio, Punto Verde, 100% natural",,,642.0,2686.0,54.8,4.2,5.9,5.9,25.2,0.02,12.2
Kéfir natural,https://es.openfoodfacts.org/producto/8480000156624/kefir-natural-hacendado,,,,,250.0,g,"Bebidas, Lácteos, Comidas fermentadas, Productos fermentados de la leche, Bebida lácteas, Bebidas fermentadas, Bebidas de leche fermentada, Kéfir",Leche,Hacendado,Mercadona,Punto Verde,,,36.0,151.0,0.52,0.0,4.8,0.0,3.92,0.0,0.0
Jamón cocido extra finas lonchas,https://es.openfoodfacts.org/producto/8480000860743/jamon-cocido-extra-finas-lonchas-hacendado,,,,,225.0,g,"Productos a base de carne, Carnes, Embutidos, Jamón, Jamón cocido",,Hacendado,Mercadona,"Sin gluten, Punto Verde",,,101.0,423.0,2.5,0.9,0.9,0.9,18.6,1.9,
Bebida de Soja,https://es.openfoodfacts.org/producto/8480000136824/bebida-de-soja-hacendado,"Bebida de Soja UHT, con Edulcorantes, con Calcio y Vitaminas B2, B12 y D",,,,1000.0,ml,"Dairy substitutes, Sustitutos de la leche, Bebidas de origen vegetal, Bebidas vegetales, Productos pasteurizados, Leches de leguminosas, Bebidas de soja, en:UHT soy based drinks",Soja,Hacendado,Mercadona,"Producto pasteurizado, Enriquecido con vitaminas, FSC, FSC Mixto, Punto Verde, Alto contenido de calcio, Sin azúcares añadidos, Recicla amarillo",,,35.0,147.0,1.9,0.3,0.8,0.7,3.4,0.16,0.7
Miel de flores,https://es.openfoodfacts.org/producto/8480000154309/miel-de-flores-hacendado,Miel de flores,,,,500.0,g,"Desayunos, Untables, Untables dulces, Productos apícolas, Productos agrícolas, Endulzantes, Mieles, Mieles de flores",,Hacendado,Mercadona,Punto Verde,,,333.0,1393.0,0.0,0.0,83.0,79.0,0.5,0.04,
Copos de trigo integral y arroz 0% azúcares añadidos,https://es.openfoodfacts.org/producto/8480000094889/copos-de-trigo-integral-y-arroz-0-azucares-anadidos-hacendado,Copos laminados y tostados de trigo integral y arroz,,,,500.0,g,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Desayunos, Cereales y patatas, Cereales y derivados, Cereales para el desayuno","Gluten, Soja","Hacendado , Mercadona",Mercadona,"Vegetariano, Fuente de fibra alimentaria, Vegano, Punto Verde, Rico en fibra, Sin azúcares añadidos, Recicla amarillo, Recicla azul",,,373.0,1560.0,1.67,0.167,75.0,0.667,10.3,0.6,4.67
Postre lácteo +proteínas natural 0% m.g 10 g proteínas,https://es.openfoodfacts.org/producto/8480000212566/postre-lacteo-proteinas-natural-0-m-g-10-g-proteinas-hacendado,,,,,500.0,g,"Fermented dairy desserts, en:Plain fermented dairy desserts",Leche,HACENDADO,Mercadona,Sin gluten,,,52.0,218.0,0.5,0.1,3.1,3.1,10.0,0.0,0.0
Cola Cao Original,https://es.openfoodfacts.org/producto/8410014478733/cola-cao-original-colacao,Preparado alimenticio al cacao,,,,383.0,g,"Bebidas y preparaciones de bebidas, Bebidas, Desayunos, Cacao y sus productos, Preparaciones de bebidas, Cacaos y chocolates en polvo, Bebidas instantáneas, Chocolates en polvo",Gluten,ColaCao,Consum,"Agricultura sustentable, Punto Verde, Sin aditivos, Alianza para Bosques, Rainforest Alliance Cocoa",,,68.0,288.0,1.7,1.1,9.6,9.1,3.4,0.12,0.5
Cacahuete en polvo desgrasado,https://es.openfoodfacts.org/producto/8480000137388/cacahuete-en-polvo-desgrasado-hacendado,Cacahuete en polvo tostado desgrasado,,,,200.0,g,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Leguminosas y derivados, Leguminosas, Frutos de cáscara y derivados, Frutos de cáscara, Suplementos dietéticos, Suplementos de culturismo, Cacahuetes",Cacahuetes,Hacendado,Mercadona,"Sin gluten, Fuente de proteínas, Alto en proteinas, Recicla-amarillo",,,416.0,1746.0,13.2,1.7,21.0,10.0,46.7,0.0,13.3
Anacardo natural,https://es.openfoodfacts.org/producto/8480000233653/anacardo-natural-hacendado,anacardo natural.,,,,200.0,g,"Unsalted cashews, en:Non-roasted cashew nuts, en:Raw cashew nuts",Frutos de cáscara,Hacendado,Mercadona,Not recommended for children under 5 years,,,604.0,2506.0,48.2,8.2,22.6,7.7,21.9,0.0,3.6
Pan de molde blanco natural rústico,https://es.openfoodfacts.org/producto/8480000233592/pan-de-molde-blanco-natural-rustico-hacendado,Pan de molde natural,,,,550.0,g,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Cereales y patatas, Cereales y derivados, Panes, Panes de molde",Gluten,Hacendado,Mercadona,"Sin conservantes, Punto Verde, Sin azúcares añadidos, Sin lactosa, Recicla amarillo",,,265.0,1122.0,4.5,0.6,47.0,3.8,9.1,1.1,1.2
Margarina Tulipán,https://es.openfoodfacts.org/producto/8719200265806/margarina-tulipan,,,,,400.0,g,"Alimentos y bebidas de origen vegetal, Lácteos, Alimentos de origen vegetal, Aceites y grasas, Untables, Untables vegetales, Grasas vegetales, Grasas para untar, Grasas animales, La pasta de leche, Margarinas, Grasas de la leche, Mantequillas",,Tulipan,,"Vegetariano, Sin aromas artificiales, Sin conservantes, Vegano, Punto Verde, Sin aromas, Sin lactosa, Sin aceite de palma",,,531.0,2183.0,59.0,22.0,0.5,0.5,0.5,0.3,0.5
Corn Flakes,https://es.openfoodfacts.org/producto/8410188012092/corn-flakes-kellogg-s,Copos Tostados de Maíz Enriquecidos con Vitaminas y Hierro,,,,500.0,g,"Extruded cereals, en:Extruded flakes, Copos de maíz tostado",Gluten,Kellogg's,,"Halal Food Authority, Sin aceite de palma",,,378.0,1604.0,0.9,0.2,84.0,8.0,7.0,1.1,3.0
Muesli Frutas,https://es.openfoodfacts.org/producto/8480000094919/muesli-frutas-hacendado,"Copos Laminados Integrales (Trigo, Centeno, Avena) y Copos Tostados de Maíz con Frutas Desecadas, Semillas y Avellanas Picadas Tostadas",,,,1000.0,g,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Desayunos, Cereales y patatas, Cereales y derivados, Cereales para el desayuno, Cereales con frutas, Muesli, Mueslis con frutas","en:Banana, Gluten, Frutos de cáscara, Avena","Hacendado , Mercadona",Mercadona,"Fuente de fibra alimentaria, Punto Verde, Rico en fibra, Recicla",,,361.0,1519.0,7.6,3.9,59.0,15.0,9.1,0.08,10.0
María dorada 0%,https://es.openfoodfacts.org/producto/8480000135025/maria-dorada-0-hacendado,"Galleta María con Edulcorante, sin Azúcares Añadidos",,,,400.0,g,"Biscuits and crackers, Galletas, Galletas maría","Gluten, Leche, Dióxido de azufre, sulfitos",Hacendado,Mercadona,"Un consumo excesivo puede tener efectos laxantes, Punto Verde, Sin azúcares añadidos, Con edulcorantes, Recicla amarillo, Recicla azul",,,445.0,1866.0,18.0,8.3,68.0,0.7,6.9,0.95,3.9
PICOS 100% integrales,https://es.openfoodfacts.org/producto/8480000862150/picos-100-integrales-hacendado,,,,,250.0,g,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Cereales y patatas, Panes, Colines, Picos de pan","Gluten, Mostaza, Granos de sésamo",Hacendado,Mercadona,Punto Verde,,,379.0,1586.0,6.4,0.8,60.9,3.1,14.0,2.1,11.0
Delizias pechuga de pavo,https://es.openfoodfacts.org/producto/8410783344468/delizias-pechuga-de-pavo-noel,,,,,200.0,g,"Charcuteries cuites, en:Poultry hams, Fiambre de pechuga de pavo",,Noel,,"Sin gluten, Sin colorantes, Sin lactosa",,,79.0,331.0,0.9,0.3,1.8,0.5,16.0,1.8,
Margarina flora 400 g,https://es.openfoodfacts.org/producto/8719200234857/margarina-flora-400-g,,,,,400.0,g,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Aceites y grasas, Untables, Untables vegetales, Grasas vegetales, Grasas para untar, Margarinas, Margarinas ligeras",,Flora,"Mercadona, DIA, Maskom","Vegetariano, Vegano, Punto Verde, Sin lactosa, Sin aceite de palma, Vegan V-label international",,,531.0,2182.0,59.0,12.0,0.5,0.5,0.5,0.2,0.0
Tomate frito receta artesana,https://es.openfoodfacts.org/producto/8480000171634/tomate-frito-receta-artesana-hacendado,Tomate frito receta artesana,,,,560.0,g,"Meal sauces, Salsas de tomate, Salsas de tomate frito",,Hacendado,Mercadona,"Vegetariano, Sin gluten, Punto Verde",,,201.0,841.0,15.0,2.1,14.3,12.5,1.6,2.25,0.0
Original,https://es.openfoodfacts.org/producto/8410014478764/original-colacao,Preparado alimenticio al cacao,,,,760.0,g,"Cocoa powder for beverages with sugar, Chocolates en polvo","Gluten, Frutos de cáscara",ColaCao,"Carrefour, Mercadona, Consum","Agricultura sustentable, Punto Verde, Sin aditivos, Alianza para Bosques, Certificado UTZ, UTZ Certified Cocoa",,,378.0,1581.0,2.5,1.6,78.0,70.0,6.6,0.1,7.8
ProActiv Original,https://es.openfoodfacts.org/producto/8719200230989/proactiv-original-becel,Materia grasa vegetal para untar 35% con esteroles vegetales añadidos,,,,225.0,g,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Aceites y grasas, Untables, Untables vegetales, Untables salados, Grasas vegetales, Grasas para untar, Margarinas",,Becel,,"Sin gluten, Vegetariano, No recomendado para ciertas personas, Vegano, Unión Vegetariana Europea, Unión Vegetariana y vegana Europea, Punto Verde, Sin lactosa, Sin aceite de palma, No recomendado para niños o mujeres embarazadas, No recomendado a niños menores de 3 años",,,315.0,1296.0,35.0,7.6,0.5,0.5,0.05,0.3,
Natural con Coco,https://es.openfoodfacts.org/producto/5411188139126/natural-con-coco-alpro,,,,,400.0,g,"Dairy substitutes, Postres, en:Vegan products, Postres lácteos, Sustitutos de la leche, Postres vegetales, Comida no láctea fermentada, Bebidas de origen vegetal, en:Fermented dairy desserts, Yogures vegetales, Bebidas vegetales, en:Fermented dairy desserts with fruits, Yogures de soja, Yogures, Yogures de frutas, Yogures de coco, en:comida-no-láctea-fermentada, en:lácteos, en:postres-lácteos",Soja,Alpro,,"Vegetariano, Sin gluten, Vegano, Empresa B certificada, Unión Vegetariana Europea, Unión Vegetariana y vegana Europea, Punto Verde, Sin lactosa, Nutriscore",,,55.0,231.0,3.0,1.1,2.4,2.1,3.9,0.32,0.8
Atún claro al natural,https://es.openfoodfacts.org/producto/8480000180186/atun-claro-al-natural-hacendado,Atún claro al natural,,,,,,"Fishes and their products, Conservas, Pescados, en:Fatty fishes, Conservas de pescado, Atunes, Atun en conserva, Atún al natural",Pescado,Hacendado,Mercadona,"Omega-3, Sin riesgo para los delfines, Punto Verde, Source of omega-3",,,98.0,410.0,1.2,0.4,0.9,0.5,21.0,1.1,0.0
Chip Choco Zero Sin Azúcares,https://es.openfoodfacts.org/producto/8410376009415/chip-choco-zero-sin-azucares-gullon,"Galleta con chips de chocolate con edulcorantes, sin azúcares",,,,125.0,g,"Biscuits and crackers, Galletas, Galletas de chocolate","Gluten, Soja",Gullón,Minipreço,"Bajo o sin azúcar, Fuente de fibra alimentaria, Un consumo excesivo puede tener efectos laxantes, Punto Verde, Sin azúcar, Nutriscore, Nutriscore C, Con edulcorantes",,,458.0,1911.0,24.0,6.0,63.0,0.5,5.9,0.58,4.0
+Proteínas Natural,https://es.openfoodfacts.org/producto/8480000209085/proteinas-natural-hacendado,Especialidad Láctea Natural,,,,480.0,g,"Fermented dairy desserts, en:Plain fermented dairy desserts",Leche,Hacendado,Mercadona,"Bajo o sin grasas, Sin gluten, Punto Verde, Sin grasas",,,52.0,223.0,0.5,0.1,3.1,3.1,10.0,0.1,
Bebida isotónica limón,https://es.openfoodfacts.org/producto/5449000058560/bebida-isotonica-limon-coca-cola,Bebida refrescante funcional con sales minerales,,,,330.0,ml,"Bebidas y preparaciones de bebidas, Bebidas, Bebidas endulzadas artificialmente, Bebidas light, Bebidas azucaradas",,"Aquarius , Coca-Cola","Carrefour, Mercadona","Punto Verde, Low energy, Con edulcorantes, Recicla-azul",,,18.0,77.0,0.0,0.0,4.4,4.4,0.0,0.05,
Cocktail Natural,https://es.openfoodfacts.org/producto/8480000868091/cocktail-natural-hacendado,,,,,200.0,g,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Frutos de cáscara y derivados, Frutos de cáscara, Almendras, Anacardos",Frutos de cáscara,Hacendado,,"Sin conservantes, Punto Verde",,,651.0,2689.0,58.8,20.5,14.6,5.2,20.4,0.0,9.0
Queso feta mezcla,https://es.openfoodfacts.org/producto/8480000511973/queso-feta-mezcla-hacendado,,,,,150.0,g,"Lácteos, Comidas fermentadas, Productos fermentados de la leche, Quesos, Quesos griegos, Quesos de leche de oveja, Feta",Leche,HACENDADO,Mercadona,"Punto Verde, Sin lactosa",,,277.0,1159.0,23.2,,1.0,,16.0,,
Margarina 100% vegetal,https://es.openfoodfacts.org/producto/8480000201966/margarina-100-vegetal-hacendado,Margarina,,,,250.0,g,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Aceites y grasas, Untables, Untables vegetales, Grasas vegetales, Grasas para untar, Margarinas",,Hacendado,Mercadona,"ponto-verde, Recicla-amarillo",,,540.0,2220.0,60.0,16.0,0.5,0.5,0.5,0.4,
Bebida de Almendras Enriquecida con Calcio y Vitaminas,https://es.openfoodfacts.org/producto/8480000156488/bebida-de-almendras-enriquecida-con-calcio-y-vitaminas-hacendado,,,,,1000.0,ml,"Dairy substitutes, Sustitutos de la leche, Frutos de cáscara y derivados, Bebidas de origen vegetal, Bebidas vegetales, Leches de frutos de cáscara, Leches de almendras","Frutos de cáscara, Soja",HACENDADO,Mercadona,"Vegetariano, Vegano, Punto Verde",,,36.0,151.0,2.0,0.5,3.7,3.5,0.7,0.08,0.5
Pechuguita de pollo asada al horno,https://es.openfoodfacts.org/producto/8437010848230/pechuguita-de-pollo-asada-al-horno-la-carlotena,,,,,,,"Productos a base de carne, Carnes, Embutidos, Pollo y sus productos, Aves, Pollo, Aves cocidas",,La Carloteña,,"Bajo o sin grasas, Bajo en grasas, Sin gluten, Marca Registrada Espiga Barrada, Punto Verde, Sin colorantes, Sin lactosa",,,125.0,523.0,2.0,0.6,0.4,0.4,26.8,0.004,
Tomate frito,https://es.openfoodfacts.org/producto/8480000171511/tomate-frito-hacendado,Tomate frito. Pack de 3,,,,630.0,g,"Meal sauces, Salsas de tomate, Salsas de tomate frito, en:groceries",,Hacendado,Mercadona,"Sin gluten, FSC, FSC Mixto, Punto Verde",,,81.0,329.0,3.0,0.4,11.6,7.2,1.4,0.0,0.0
Tiras de pechuga de pollo al natural,https://es.openfoodfacts.org/producto/8480000566614/tiras-de-pechuga-de-pollo-al-natural-hacendado,Tiras de pollo,,,,140.0,g,Cooked chicken breast without skin,,Hacendado,Mercadona,"Sin gluten, Punto Verde, Sin lactosa",,,107.0,448.0,1.2,0.4,0.6,0.6,23.4,1.77,
