source,product_name,brand,weight_volume_clean,country,energia_kcal,energia_kj,grasas_totales,grasas_saturadas,carbohidratos,azucares,proteinas,sal,fibra,score_nutricional
alcampo,LAY'S Al punto de sal Patatas fritas lisas de bolsa 150 g.,LAY'S,150.0,,521.0,2174.0,31.0,2.3,53.0,0.4,6.1,0.85,4.0,65.9
alcampo,Setas bandeja de 200g.,,200.0,España,32.0,134.0,0.61,0.1,3.6,0.52,1.94,0.01,4.0,100.0
alcampo,OLD EL PASO Nachos originales OLD EL PASO 185 g.,OLD,185.0,,492.0,2057.0,23.6,2.2,59.0,0.5,7.8,0.49,4.0,83.6
alcampo,LATINO Queso fresco LATINO de ALBE 500 g.,LATINO,500.0,"España, España",285.0,1182.0,22.0,14.0,2.5,1.7,17.0,1.6,4.0,78.5
alcampo,TIGER KHAN Pasta fideos de arroz sin gluten TIGER KHAN 250 g.,TIGER,250.0,Vietnam,340.0,1425.0,1.0,0.4,75.0,0.0,6.9,0.02,4.0,100.0
alcampo,CALVO Sardinas en aceite de oliva bajo en sal 84 g.,CALVO,81.0,"Marruecos, NO Aplica",323.0,1348.0,28.0,4.0,0.0,0.0,18.0,0.0,4.0,96.0
alcampo,RANA Raviolis de pasta fresca rellenos de tomate y mozzarella 250 g.,RANA,250.0,Italia,266.0,1115.0,8.7,3.5,33.0,6.0,11.0,0.85,4.0,100.0
alcampo,ALHAMBRA Especial Cerveza botella 6 x 25 cl.,ALHAMBRA,1500.0,España,49.0,206.0,0.0,0.0,4.15,0.3,0.3,0.0,4.0,100.0
alcampo,ENCANTO  Vino tinto Mencía con I.G.P. Vino de la Tierra de Castilla y León botella 75 cl.,ENCANTO,,,81.73,341.98,0.0,0.0,0.4,0.15,0.2,0.01,4.0,100.0
alcampo,PRODUCTO ALCAMPO Bebida isotónica con sabor a naranja pack de 6 uds x 33 cl.,PRODUCTO,1980.0,,20.0,84.0,0.0,0.0,4.7,4.7,0.0,0.05,4.0,100.0
alcampo,HELLMANN'S Salsa burger 250 ml.,HELLMANN'S,250.0,España,250.0,1046.0,22.0,1.7,12.0,7.2,1.1,1.4,4.0,96.0
alcampo,LA MOLISANA Spaghetti integrales nº 15 (pasta seca) 500 g.,LA,500.0,,353.0,1494.0,2.0,0.3,65.0,3.3,15.0,0.08,4.0,100.0
alcampo,PRESIDENT Crema de queso para untar emmental125 g.,PRESIDENT,125.0,"Francia, Francia",279.0,1155.0,25.0,18.0,1.5,1.5,12.0,2.4,4.0,45.0
alcampo,BARILLA Pasta risoni orzo 500 g.,BARILLA,500.0,Italia,359.0,1521.0,2.0,0.5,72.0,3.5,12.0,0.0,4.0,100.0
alcampo,RANA Tortellini parmigiano reggiano clásica sin conservantes 250 g.,RANA,250.0,Italia,283.0,1187.0,12.0,4.6,30.0,6.2,11.0,1.1,4.0,100.0
alcampo,"KAS Refresco de limón botella 1,25 l.",KAS,1000.0,,22.0,93.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,100.0
alcampo,AUCHAN Yogur griego natural con azúcar moreno de caña 1 kg. Producto Alcampo,AUCHAN,1000.0,,131.0,545.0,8.1,5.4,11.0,11.0,3.4,0.13,4.0,98.8
alcampo,CALVO Atún claro al natural sin aceite con contenido reducido en sal. pack de 3 uds. 56 g.,CALVO,168.0,"España, NO Aplica",96.0,401.0,1.0,0.0,0.0,0.0,22.0,0.0,4.0,100.0
alcampo,ILLY Café en grano natural tueste medio 250 g.,ILLY,250.0,Italia,4.0,16.0,0.06,0.02,0.5,0.01,0.2,0.2,4.0,100.0
alcampo,HOHES C Zumo multifrutas nutricional con extra de hierro y vitamina C 1 L.,HOHES,1000.0,,41.0,171.0,0.5,0.1,9.3,8.9,0.5,0.01,4.0,100.0
alcampo,FRANZISKANER NATURTRUB Cerveza Alemana de trigo botella 50 cl.,FRANZISKANER,500.0,Alemania,43.0,180.0,0.0,0.0,3.3,0.2,0.8,0.0,4.0,100.0
alcampo,"PRODUCTO ALCAMPO Cereales desayuno de arroz y maíz, pétalos de chocolate, sin gluten PRODUCTO ALCAMPO 400 g.",PRODUCTO,400.0,"España, España",390.0,1648.0,4.5,2.4,78.0,25.0,6.2,0.21,4.0,80.0
alcampo,"PRODUCTO ALCAMPO Cookies (galletas) con pepitas de chocolate, elaboradas sin gluten ni lactosa 150 g.",PRODUCTO,150.0,España,486.0,2037.0,21.2,15.7,68.9,20.6,3.6,1.1,4.0,45.7
alcampo,CHIQUILÍN de Artiach Galletas tostadas 525 g.,CHIQUILÍN,525.0,España,464.0,1952.0,16.0,2.9,72.0,21.0,6.7,0.25,4.0,81.6
alcampo,Mollete de antequera EL ANTEQUERANO 4 uds. 130 g.,,280.0,"España, Elaborado en Fuente de Piedra - Antequera",241.0,1020.0,0.9,0.2,49.1,2.4,7.4,1.6,4.0,99.0
alcampo,"POMPADOUR Cola de caballo plus 3, 40 g,",POMPADOUR,40.0,España,1.0,3.0,0.0,0.0,0.2,0.1,0.0,0.0,4.0,100.0
alcampo,MONSTER Energy Juiced khaotic Bebida energética lata 500 ml.,MONSTER,500.0,,34.0,146.0,0.0,0.0,8.6,7.8,0.0,0.06,4.0,100.0
alcampo,NESCAFÉ GOLD Café soluble Cappuccino 250 g.,NESCAFÉ,250.0,España,31.0,131.0,0.6,0.5,5.5,3.7,0.7,0.09,4.0,100.0
alcampo,OIKOS Yogur griego natural azucarado  de Danone 4 x 110 g.,OIKOS,440.0,,145.0,604.0,10.0,6.3,10.6,10.6,3.2,0.1,4.0,96.1
alcampo,VIÑAS DEL VERO  Vino blanco con D.O. Somontano botella 75 cl.,VIÑAS,,,76.0,317.0,0.0,0.0,1.15,1.15,0.0,0.0,4.0,100.0
alcampo,CUCA Atún claro en aceite de oliva pack 3 uds. x 67 g.,CUCA,201.0,España,377.0,1561.0,33.0,4.7,0.0,0.0,20.0,0.9,4.0,89.0
alcampo,MAIZENA Harina fina de maíz 700 g.,MAIZENA,700.0,Francia,355.0,1487.0,0.5,0.1,86.0,0.5,0.5,0.01,4.0,100.0
alcampo,"RANA Ravioli de pasta fresca al huevo, rellenos de crema de calabaza y cebolla caramelizada 250 g.",RANA,250.0,Italia,247.0,1037.0,7.8,2.6,32.0,7.7,8.8,0.73,4.0,100.0
alcampo,AUCHAN Capuccino estilo italiano 2 x 90 g. Producto Alcampo,AUCHAN,180.0,Italia,283.0,1189.0,9.7,8.0,39.8,24.3,5.1,0.3,4.0,72.4
alcampo,PESCANOVA Caprichos de pota en anillas a la romana 400 g.,PESCANOVA,400.0,,225.0,941.0,12.2,1.1,22.4,2.0,5.7,1.58,4.0,99.2
alcampo,CARBONEL SABOR  Aceite de oliva intenso botella 1 l.,CARBONEL,1000.0,,900.0,3700.0,100.0,15.0,0.0,0.0,0.0,0.0,4.0,0.0
alcampo,ALCAMPO CULTIVAMOS LO BUENO Payesito 4 uds. x 60 g.,ALCAMPO,240.0,,496.0,2074.0,26.2,14.5,38.6,38.6,26.4,0.86,4.0,26.899999999999995
alcampo,ALVALLE Gazpacho andaluz elaborado con hortalizas frescas del sur 900 ml.,ALVALLE,900.0,,50.0,208.0,3.4,0.5,3.7,2.1,0.8,0.63,4.0,100.0
alcampo,SOUBRY Fideos de huevo chinos SOUBRY 250 g.,SOUBRY,250.0,"Bélgica, Bélgica",358.0,1517.0,3.0,0.7,69.0,3.5,12.5,0.94,4.0,100.0
alcampo,MORT SUBITE XTREME KRIEK  Cerveza combinada de cereza botella de 25 cl.,MORT,250.0,,56.0,237.0,0.0,0.0,8.2,5.0,0.4,0.0,4.0,100.0
